Instance,N,M,Setup,Release,constructive_cmax,lahc_cmax,SA_cmax,RSA_cmax,Best_cmax,lahc_runtime,SA_runtime,RSA_runtime,lahc_timeToBest,SA_timeToBest,RSA_timeToBest,RPD LAHC,RPD_SA,RPD RSA
120on6Rp50Rs50Rr1.0_7_Rabadi.txt,120.0,6.0,50-100,1.0,8964.0,8891.0,8891.0,8891.0,8891.0,360.01,194.59,129.72,3.76,74.12,4.01,0.0,0.0,0.0
I_800_02_S_1-009_R_1.8_10.txt,800.0,2.0,1-009,1.8,71918.0,71918.0,71918.0,71918.0,71918.0,801.23,807.98,807.64,13.59,0.0,11.43,0.0,0.0,0.0
I_1000_04_S_1-009_R_1.0_05.txt,1000.0,4.0,1-009,1.0,50893.0,50891.0,50891.0,50891.0,50891.0,2002.65,2005.46,2009.12,9.01,0.0,9.2,0.0,0.0,0.0
I_200_04_S_1-099_R_1.4_08.txt,200.0,4.0,1-099,1.4,14336.0,14308.0,14308.0,14308.0,14308.0,400.06,400.11,400.08,96.73,40.05,25.33,0.0,0.0,0.0
I_1000_04_S_1-099_R_1.4_08.txt,1000.0,4.0,1-099,1.4,70015.0,70000.0,70000.0,70000.0,70000.0,2002.93,2003.48,2001.85,71.96,297.9,285.51,0.0,0.0,0.0
I_800_06_S_1-099_R_1.4_08.txt,800.0,6.0,1-099,1.4,55985.0,55967.0,55966.0,55966.0,55966.0,2401.32,2404.37,2404.57,3.03,1300.02,858.15,0.0,0.0,0.0
I_1000_04_S_1-049_R_1.0_06.txt,1000.0,4.0,1-049,1.0,49994.0,49967.0,49967.0,49967.0,49967.0,2012.36,2001.88,2002.25,75.61,171.09,111.21,0.0,0.0,0.0
I_800_08_S_1-049_R_0.6_04.txt,800.0,8.0,1-049,0.6,23910.0,23901.0,23901.0,23901.0,23901.0,3201.77,3202.81,3200.56,4.86,31.37,77.94,0.0,0.0,0.0
I_800_02_S_1-099_R_1.8_10.txt,800.0,2.0,1-099,1.8,73439.0,73426.0,73427.0,73427.0,73426.0,804.92,802.66,804.53,79.6,128.97,171.74,0.0,0.0,0.0
I_400_04_S_1-124_R_1.8_10.txt,400.0,4.0,1-124,1.8,35306.0,35295.0,35294.0,35294.0,35294.0,800.21,800.34,800.62,0.56,311.12,55.67,0.0,0.0,0.0
I_1000_04_S_1-049_R_1.0_05.txt,1000.0,4.0,1-049,1.0,49041.0,49012.0,49012.0,49012.0,49012.0,2005.48,2003.66,2004.9,342.48,386.31,404.37,0.0,0.0,0.0
I_800_08_S_1-099_R_0.2_02.txt,800.0,8.0,1-099,0.2,8015.0,7993.0,7993.0,7992.0,7992.0,3200.38,3201.63,3200.27,9.9,677.1,1628.6,0.0001,0.0001,0.0
I_800_02_S_1-099_R_0.6_03.txt,800.0,2.0,1-099,0.6,24039.0,24007.0,24005.0,24003.0,24003.0,813.38,808.73,808.31,498.48,372.58,36.05,0.0002,0.0001,0.0
I_800_04_S_1-099_R_0.2_02.txt,800.0,4.0,1-099,0.2,8303.0,8108.0,8096.0,8093.0,8093.0,1604.06,1604.6,1601.06,120.25,1282.63,1129.68,0.0019,0.0004,0.0
I_400_04_S_1-099_R_1.4_07.txt,400.0,4.0,1-099,1.4,27354.0,27327.0,27326.0,27326.0,27326.0,800.14,800.23,800.16,533.19,403.68,496.26,0.0,0.0,0.0
I_800_08_S_1-099_R_1.0_06.txt,800.0,8.0,1-099,1.0,40014.0,40009.0,40008.0,40008.0,40008.0,3203.54,3200.66,3202.83,713.78,1143.16,666.37,0.0,0.0,0.0
I_800_08_S_1-009_R_1.4_08.txt,800.0,8.0,1-009,1.4,57054.0,57051.0,57050.0,57050.0,57050.0,3200.7,3205.46,3206.27,1.32,1163.61,606.37,0.0,0.0,0.0
I_600_04_S_1-049_R_0.6_03.txt,600.0,4.0,1-049,0.6,17918.0,17908.0,17908.0,17908.0,17908.0,1201.09,1201.36,1201.63,3.37,51.03,144.31,0.0,0.0,0.0
I_040_08_S_1-099_R_1.0_05.txt,40.0,8.0,1-099,1.0,2053.0,2009.0,2009.0,2009.0,2009.0,53.86,11.11,11.33,0.01,0.01,0.02,0.0,0.0,0.0
I_400_04_S_1-124_R_1.0_06.txt,400.0,4.0,1-124,1.0,19622.0,19605.0,19605.0,19604.0,19604.0,800.36,800.05,800.3,5.03,10.92,433.22,0.0001,0.0001,0.0
I_1000_02_S_1-049_R_1.0_06.txt,1000.0,2.0,1-049,1.0,50041.0,50025.0,50025.0,50025.0,50025.0,1017.03,1023.12,1027.81,83.66,81.22,81.43,0.0,0.0,0.0
I_600_06_S_1-099_R_1.4_07.txt,600.0,6.0,1-099,1.4,41997.0,41976.0,41975.0,41975.0,41975.0,1801.19,1800.37,1801.12,2.33,1684.58,473.9,0.0,0.0,0.0
I_1000_08_S_1-099_R_0.6_03.txt,1000.0,8.0,1-099,0.6,30019.0,29998.0,29998.0,29997.0,29997.0,4000.29,4001.84,4002.35,26.98,2393.46,2124.9,0.0,0.0,0.0
I_600_02_S_1-049_R_1.8_10.txt,600.0,2.0,1-049,1.8,53953.0,53953.0,53953.0,53953.0,53953.0,603.64,600.86,605.95,5.09,0.0,5.51,0.0,0.0,0.0
I_600_08_S_1-124_R_1.0_06.txt,600.0,8.0,1-124,1.0,29978.0,29960.0,29959.0,29959.0,29959.0,2401.95,2402.43,2400.54,2.1,556.36,88.4,0.0,0.0,0.0
I_800_02_S_1-049_R_1.4_08.txt,800.0,2.0,1-049,1.4,57150.0,57150.0,57145.0,57146.0,57145.0,807.18,808.61,801.7,12.22,251.11,95.36,0.0001,0.0,0.0
